Section,#,Cas de test,Actions,Resultat attendu,Statut,Commentaires,
ABONNEMENTS,13.7,Entitlements,Verifier entitlements,Entitlements affiches,,,
ABONNEMENTS,13.8,Abonnement evenement,Verifier abonnement evenement,Abonnement affiche,,,
ABONNEMENTS,13.9,Upgrade abonnement,Upgrader abonnement,Abonnement upgrade,,,
ABONNEMENTS,13.10,Annuler abonnement,Annuler abonnement,Abonnement annule,,,
ABONNEMENTS,13.11,Renouveler abonnement,Renouveler abonnement,Abonnement renouvele,,,
ABONNEMENTS,13.12,Calcul prix,Calculer prix abonnement,Prix calcule correctement,,,
ABONNEMENTS,13.13,Verification limites,Verifier limites evenement,Limites affichees,,,
ABONNEMENTS - Top-ups,13.14.2001,Acheter credits,Acheter credits supplementaires,Credits ajoutes,,,
ABONNEMENTS - Top-ups,13.14.2002,Historique top-ups,Verifier historique,Historique affiche,,,
PLANS,14.1,Affichage page,Acceder a /plans,Page plans affichee,,,
PLANS,14.2,Liste plans,Verifier liste,Liste des plans avec details,,,
PLANS,14.3,Plan trial,Verifier plan trial,Plan trial affiche,,,
PLANS,14.4,Plan disponible,Verifier disponibilite,Disponibilite affichee,,,
PLANS,14.5,Selection plan,Selectionner un plan,Plan selectionne,,,
PAIEMENTS,15.1,Affichage page,Acceder a /payments,Page paiements affichee,,,
PAIEMENTS,15.2,Initier paiement,Initier un paiement,Paiement initie,,,
PAIEMENTS,15.3,Paiement MTN,Initier paiement MTN,Paiement MTN initie,,,
PAIEMENTS,15.4,Paiement Airtel,Initier paiement Airtel,Paiement Airtel initie,,,
PAIEMENTS,15.5,Statut paiement,Verifier statut paiement,Statut affiche,,,
PAIEMENTS,15.6,Polling paiement,Polling statut paiement,Statut mis a jour,,,
PAIEMENTS,15.7,Reessayer paiement,Reessayer paiement echec,Paiement reessaye,,,
PAIEMENTS,15.8,Historique paiements,Verifier historique,Historique affiche,,,
EXPORTS,16.1,Export invites CSV,Exporter invites en CSV,Fichier CSV telecharge,,,
EXPORTS,16.2,Export invites Excel,Exporter invites en Excel,Fichier XLSX telecharge,,,
EXPORTS,16.3,Export invites PDF,Exporter invites en PDF,Fichier PDF telecharge,,,
EXPORTS,16.4,Export budget CSV,Exporter budget en CSV,Fichier CSV telecharge,,,
EXPORTS,16.5,Export budget Excel,Exporter budget en Excel,Fichier XLSX telecharge,,,
EXPORTS,16.6,Export budget PDF,Exporter budget en PDF,Fichier PDF telecharge,,,
EXPORTS,16.7,Export taches CSV,Exporter taches en CSV,Fichier CSV telecharge,,,
EXPORTS,16.8,Export taches Excel,Exporter taches en Excel,Fichier XLSX telecharge,,,
EXPORTS,16.9,Export rapport PDF,Exporter rapport complet en PDF,Fichier PDF telecharge,,,
COMMUNICATION SPOTS,17.1,Affichage spot actif,Verifier spot actif,Spot actif affiche,,,
COMMUNICATION SPOTS,17.2,Cliquer sur spot,Cliquer sur spot,Action declenchee,,,
COMMUNICATION SPOTS,17.3,Voter sur spot,Voter sur spot,Vote enregistre,,,
COMMUNICATION SPOTS,17.4,Suivi vues,Suivre vues spot,Vues enregistrees,,,
LEGAL PAGES,18.1,Acces page legale,Acceder a /legal/:slug,Page legale affichee,,,
LEGAL PAGES,18.2,Page CGU,Acceder CGU,Page CGU affichee,,,
LEGAL PAGES,18.3,Page politique confidentialite,Acceder politique confidentialite,Page affichee,,,
LEGAL PAGES,18.4,Page mentions legales,Acceder mentions legales,Page affichee,,,
ADMIN - Dashboard,19.1,Acces admin (admin),Acceder a /admin en tant qu'admin,Dashboard admin affiche,OK,,
ADMIN - Dashboard,19.2,Acces admin (user),Acceder a /admin en tant qu'user,Acces refuse/redirection,,,
ADMIN - Dashboard,19.3,Statistiques globales,Verifier les stats,"Utilisateurs, Evenements, Revenus",OK,,
ADMIN - Dashboard,19.4,Graphiques admin,Verifier graphiques,Graphiques affiches,,,
ADMIN - Dashboard,19.5,Distribution plans,Verifier distribution plans,Distribution affichee,,,
ADMIN - Utilisateurs,20.1,Liste utilisateurs,Acceder a /admin/users,Liste paginee des utilisateurs,OK,,
ADMIN - Utilisateurs,20.2,Recherche,Rechercher par nom/email,Resultats filtres,OK,,
ADMIN - Utilisateurs,20.3,Filtrage par role,Filtrer par role,Seuls users du role affiches,OK,,
ADMIN - Utilisateurs,20.4,Modifier role,Changer le role d'un user,Role mis a jour,KO,,
ADMIN - Utilisateurs,20.5,Activer/Desactiver,Toggle statut utilisateur,Statut change,KO,,
ADMIN - Utilisateurs,20.6,Supprimer utilisateur,Supprimer un user,Confirmation puis suppression,OK,,
ADMIN - Utilisateurs,20.7,Pagination,Naviguer entre pages,Pages chargees correctement,,,
ADMIN - Utilisateurs,20.8,Details utilisateur,Voir details utilisateur,Details affiches,,,
ADMIN - Evenements,21.1,Liste evenements,Acceder a /admin/events,Liste de tous les evenements,OK,,
ADMIN - Evenements,21.2,Recherche,Rechercher par titre,Resultats filtres,OK,problème de case sensitive,
ADMIN - Evenements,21.3,Filtrage par type,Filtrer par type evenement,Resultats filtres,OK,,
ADMIN - Evenements,21.4,Filtrage par statut,Filtrer par statut,Resultats filtres,OK,,
ADMIN - Evenements,21.5,Voir details,Cliquer sur un evenement,Details affiches,OK,,
ADMIN - Paiements,22.1,Liste paiements,Acceder a /admin/payments,Liste des paiements,OK,,
ADMIN - Paiements,22.2,Filtrage par statut,Filtrer par statut paiement,Resultats filtres,OK,,
ADMIN - Paiements,22.3,Filtrage par periode,Filtrer par date,Resultats filtres,KO,,
ADMIN - Paiements,22.4,Details paiement,Cliquer sur un paiement,Details affiches,KO,,
ADMIN - Paiements,22.5,Rememboursement,Remembourser un paiement,Rememboursement effectue,,,
ADMIN - Abonnements,23.1,Liste abonnements,Acceder a /admin/subscriptions,Liste des abonnements,OK,,
ADMIN - Abonnements,23.2,Filtrage par plan,Filtrer par type de plan,Resultats filtres,OK,,
ADMIN - Abonnements,23.3,Filtrage par statut,Filtrer par statut,Resultats filtres,KO,,
ADMIN - Abonnements,23.4,Prolonger abonnement,Prolonger un abonnement,Date expiration mise a jour,KO,Option non présente,
ADMIN - Abonnements,23.5,Changer plan,Modifier le plan d'un user,Plan mis a jour,KO,,
ADMIN - Abonnements,23.6,Annuler abonnement,Annuler abonnement admin,Abonnement annule,,,
ADMIN - Plans,24.1,Liste plans,Acceder a /admin/plans,Liste des plans,OK,,
ADMIN - Plans,24.2,Creer plan,Creer un nouveau plan,Plan cree,,,
ADMIN - Plans,24.3,Modifier plan,Modifier un plan,Plan mis a jour,,,
ADMIN - Plans,24.4,Supprimer plan,Supprimer un plan,Plan supprime,,,
ADMIN - Plans,24.5,Activer/Desactiver plan,Toggle statut plan,Statut change,,,
ADMIN - Plans,24.6,Details plan,Voir details plan,Details affiches,,,
ADMIN - Templates,25.1,Liste templates,Acceder a /admin/templates,Liste des templates,OK,,
ADMIN - Templates,25.2,Creer template,Cliquer Nouveau template,Formulaire creation,OK,,
ADMIN - Templates,25.3,Remplir formulaire,"Saisir nom, type, description",Champs acceptes,OK,,
ADMIN - Templates,25.4,Ajouter taches defaut,Ajouter des taches,Taches ajoutees a la liste,OK,,
ADMIN - Templates,25.5,Ajouter categories budget,Ajouter des categories,Categories ajoutees,OK,,
ADMIN - Templates,25.6,Ajouter themes suggeres,Ajouter des themes,Themes ajoutes,OK,,
ADMIN - Templates,25.7,Sauvegarder template,Soumettre formulaire,Template cree,OK,,
ADMIN - Templates,25.8,Modifier template,Modifier un template existant,Template mis a jour,OK,,
ADMIN - Templates,25.9,Activer/Desactiver,Toggle statut template,Statut change,OK,,
ADMIN - Templates,25.10,Supprimer template,Supprimer un template,Confirmation puis suppression,OK,,
ADMIN - Communication Spots,26.1,Liste spots,Acceder a /admin/communication,Liste des spots,OK,,
ADMIN - Communication Spots,26.2,Creer spot,Creer un nouveau spot,Spot cree,,,
ADMIN - Communication Spots,26.3,Modifier spot,Modifier un spot,Spot mis a jour,,,
ADMIN - Communication Spots,26.4,Supprimer spot,Supprimer un spot,Spot supprime,,,
ADMIN - Communication Spots,26.5,Activer/Desactiver spot,Toggle statut spot,Statut change,,,
ADMIN - Communication Spots,26.6,Resultats spot,Verifier resultats spot,Resultats affiches,,,
ADMIN - Communication Spots,26.7,Reinitialiser votes,Reinitialiser votes spot,Votes reinitialises,,,
ADMIN - Communication Spots,26.8,Fermer spot,Fermer un spot,Spot ferme,,,
ADMIN - Communication Spots,26.9,Export resultats,Exporter resultats spot,Fichier exporte,,,
ADMIN - Legal Pages,27.1,Liste pages legales,Acceder a /admin/legal-pages,Liste des pages,OK,,
ADMIN - Legal Pages,27.2,Creer page legale,Creer une nouvelle page,Page creee,,,
ADMIN - Legal Pages,27.3,Modifier page legale,Modifier une page,Page mise a jour,,,
ADMIN - Legal Pages,27.4,Supprimer page legale,Supprimer une page,Page supprimee,,,
ADMIN - Legal Pages,27.5,Details page legale,Voir details page,Details affiches,,,
ADMIN - Activity Logs,28.1,Affichage page,Acceder a /admin/activity-logs,Page journal affichee,OK,,
ADMIN - Activity Logs,28.2,Statistiques,Verifier les stats,"Total, Aujourd'hui, Semaine, Mois corrects",OK,,
ADMIN - Activity Logs,28.3,Liste historique,Verifier le tableau,Logs affiches avec details,OK,,
ADMIN - Activity Logs,28.4,Nom ressource,Verifier colonne ressource,Nom de la ressource affiche (pas juste #ID),OK,,
ADMIN - Activity Logs,28.5,Filtrage par action,Filtrer par type action,Resultats filtres,KO,Les filtres ne fonctionnent pas,
ADMIN - Activity Logs,28.6,Filtrage par ressource,Filtrer par type ressource,Resultats filtres,KO,,
ADMIN - Activity Logs,28.7,Filtrage par date,Filtrer par periode,Resultats filtres,KO,,
ADMIN - Activity Logs,28.8,Recherche,Rechercher dans description,Resultats filtres,KO,,
ADMIN - Activity Logs,28.9,Expansion details,Cliquer sur une ligne,Anciennes/Nouvelles valeurs affichees,OK,,
ADMIN - Activity Logs,28.10,Pagination,Naviguer entre pages,Pages chargees correctement,OK,,
ADMIN - Activity Logs,28.11,Actualiser,Cliquer Actualiser,Donnees rechargees,OK,,
ADMIN - Activity Logs,28.12,Reinitialiser filtres,Cliquer Reinitialiser,Tous filtres effaces,OK,,
RESPONSIVE,29.1,Desktop (1920x1080),Tester toutes les pages,Affichage correct,OK,,
RESPONSIVE,29.2,Laptop (1366x768),Tester toutes les pages,Affichage correct,OK,,
RESPONSIVE,29.3,Tablette (768x1024),Tester toutes les pages,Affichage adapte,OK,,
RESPONSIVE,29.4,Mobile (375x667),Tester toutes les pages,Affichage mobile,OK,,
RESPONSIVE,29.5,Sidebar mobile,Ouvrir sidebar sur mobile,Menu hamburger fonctionnel,OK,,
PERFORMANCE,30.1,Chargement initial,Mesurer temps chargement,< 3 secondes,OK,,
PERFORMANCE,30.2,Navigation entre pages,Naviguer rapidement,Transitions fluides,OK,,
PERFORMANCE,30.3,Liste longue,Afficher 100+ elements,Pas de lag,KO,pas de filtre pour changer le nombre d'éléments affiché,
PERFORMANCE,30.4,Upload fichier,Uploader fichier 5MB,Upload sans timeout,KO,,
PERFORMANCE,30.5,Refresh token,Verifier refresh token,Token rafraichi automatiquement,,,
ERREURS,31.1,Page 404,Acceder a URL inexistante,Page 404 affichee,OK,,
ERREURS,31.2,Erreur reseau,Couper connexion,Message erreur reseau,,,
ERREURS,31.3,Session expiree,Attendre expiration,Redirection vers login,KO,la session n'exipre jamais il faut mettre un durée de session 1h,
ERREURS,31.4,Erreur serveur,Simuler erreur 500,Message erreur generique,KO,Je ne vois aucun message alors que le backend est arrêté. Juste des données vide,
ERREURS,31.5,Erreur validation,Envoyer donnees invalides,Message erreur validation,,,
ERREURS,31.6,Erreur permission,Acceder ressource non autorisee,Message erreur permission,,,
